seqname	V	D	J	vlen	vdilen	dlen	djilen	jlen
S990	IGHV3-66*04	IGHD2-8*02	IGHJ4*02	293	0	28	0	46
S991	IGHV1-58*01	IGHD1-26*01	IGHJ3*01	296	0	8	15	42
S992	IGHV3-13*02	IGHD2-15*01	IGHJ6*02	287	0	26	0	62
S993	IGHV4-38-2*01	IGHD6-19*01	IGHJ1*01	292	3	5	7	51
S994	IGHV5-10-1*04	IGHD1-20*01	IGHJ6*02	293	13	10	0	59
S995	IGHV1-2*01	IGHD3-3*02	IGHJ2*01	296	14	31	1	49
S996	IGHV1-58*01	IGHD5-12*01	IGHJ4*03	296	0	3	0	47
S997	IGHV7-4-1*02	IGHD6-6*01	IGHJ3*01	289	7	18	0	50
S998	IGHV3-23*03	IGHD3-16*01	IGHJ1*01	296	0	33	0	41
S999	IGHV3-7*03	IGHD6-13*01	IGHJ4*01	293	3	6	0	47
S1000	IGHV6-1*02	IGHD5-5*01	IGHJ2*01	302	9	8	0	51
